text,label
Election commission releases official voting data (report 5),0
NASA launches new satellite to study climate change (report 5),0
Finance ministry announces tax relief for middle class (report 5),0
Supreme Court passes new judgment on environmental law (report 5),0
WHO releases new global health guidelines (report 5),0
ISRO successfully tests new launch vehicle (report 5),0
Central bank revises interest rates after review (report 5),0
New renewable energy project inaugurated by government (report 5),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 5),1
You won’t believe how this man became rich in one day (claim 5),1
Secret revealed: cure for all diseases doctors hide (claim 5),1
Viral hoax claims mobile towers spread dangerous virus (claim 5),1
Click here to know shocking truth no one talks about (claim 5),1
Scientists shocked by alien life found on Earth (claim 5),1
Government hiding truth about free money scheme (claim 5),1
Drinking this one liquid will make you immortal (claim 5),1
Shocking discovery proves world will end next week (claim 5),1
This simple trick can double your money instantly (claim 5),1
Government announces new education policy for students (report 6),0
Scientists confirm water found on Mars after new research (report 6),0
Election commission releases official voting data (report 6),0
NASA launches new satellite to study climate change (report 6),0
Finance ministry announces tax relief for middle class (report 6),0
Supreme Court passes new judgment on environmental law (report 6),0
WHO releases new global health guidelines (report 6),0
ISRO successfully tests new launch vehicle (report 6),0
Central bank revises interest rates after review (report 6),0
New renewable energy project inaugurated by government (report 6),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 6),1
You won’t believe how this man became rich in one day (claim 6),1
Secret revealed: cure for all diseases doctors hide (claim 6),1
Viral hoax claims mobile towers spread dangerous virus (claim 6),1
Click here to know shocking truth no one talks about (claim 6),1
Scientists shocked by alien life found on Earth (claim 6),1
Government hiding truth about free money scheme (claim 6),1
Drinking this one liquid will make you immortal (claim 6),1
Shocking discovery proves world will end next week (claim 6),1
This simple trick can double your money instantly (claim 6),1
Government announces new education policy for students (report 7),0
Scientists confirm water found on Mars after new research (report 7),0
Election commission releases official voting data (report 7),0
NASA launches new satellite to study climate change (report 7),0
Finance ministry announces tax relief for middle class (report 7),0
Supreme Court passes new judgment on environmental law (report 7),0
WHO releases new global health guidelines (report 7),0
ISRO successfully tests new launch vehicle (report 7),0
Central bank revises interest rates after review (report 7),0
New renewable energy project inaugurated by government (report 7),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 7),1
You won’t believe how this man became rich in one day (claim 7),1
Secret revealed: cure for all diseases doctors hide (claim 7),1
Viral hoax claims mobile towers spread dangerous virus (claim 7),1
Click here to know shocking truth no one talks about (claim 7),1
Scientists shocked by alien life found on Earth (claim 7),1
Government hiding truth about free money scheme (claim 7),1
Drinking this one liquid will make you immortal (claim 7),1
Shocking discovery proves world will end next week (claim 7),1
This simple trick can double your money instantly (claim 7),1
Government announces new education policy for students (report 8),0
Scientists confirm water found on Mars after new research (report 8),0
Election commission releases official voting data (report 8),0
NASA launches new satellite to study climate change (report 8),0
Finance ministry announces tax relief for middle class (report 8),0
Supreme Court passes new judgment on environmental law (report 8),0
WHO releases new global health guidelines (report 8),0
ISRO successfully tests new launch vehicle (report 8),0
Central bank revises interest rates after review (report 8),0
New renewable energy project inaugurated by government (report 8),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 8),1
You won’t believe how this man became rich in one day (claim 8),1
Secret revealed: cure for all diseases doctors hide (claim 8),1
Viral hoax claims mobile towers spread dangerous virus (claim 8),1
Click here to know shocking truth no one talks about (claim 8),1
Scientists shocked by alien life found on Earth (claim 8),1
Government hiding truth about free money scheme (claim 8),1
Drinking this one liquid will make you immortal (claim 8),1
Shocking discovery proves world will end next week (claim 8),1
This simple trick can double your money instantly (claim 8),1
Government announces new education policy for students (report 9),0
Scientists confirm water found on Mars after new research (report 9),0
Election commission releases official voting data (report 9),0
NASA launches new satellite to study climate change (report 9),0
Finance ministry announces tax relief for middle class (report 9),0
Supreme Court passes new judgment on environmental law (report 9),0
WHO releases new global health guidelines (report 9),0
ISRO successfully tests new launch vehicle (report 9),0
Central bank revises interest rates after review (report 9),0
New renewable energy project inaugurated by government (report 9),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 9),1
You won’t believe how this man became rich in one day (claim 9),1
Secret revealed: cure for all diseases doctors hide (claim 9),1
Viral hoax claims mobile towers spread dangerous virus (claim 9),1
Click here to know shocking truth no one talks about (claim 9),1
Scientists shocked by alien life found on Earth (claim 9),1
Government hiding truth about free money scheme (claim 9),1
Drinking this one liquid will make you immortal (claim 9),1
Shocking discovery proves world will end next week (claim 9),1
This simple trick can double your money instantly (claim 9),1
Government announces new education policy for students (report 10),0
Scientists confirm water found on Mars after new research (report 10),0
Election commission releases official voting data (report 10),0
NASA launches new satellite to study climate change (report 10),0
Finance ministry announces tax relief for middle class (report 10),0
Supreme Court passes new judgment on environmental law (report 10),0
WHO releases new global health guidelines (report 10),0
ISRO successfully tests new launch vehicle (report 10),0
Central bank revises interest rates after review (report 10),0
New renewable energy project inaugurated by government (report 10),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 10),1
You won’t believe how this man became rich in one day (claim 10),1
Secret revealed: cure for all diseases doctors hide (claim 10),1
Viral hoax claims mobile towers spread dangerous virus (claim 10),1
Click here to know shocking truth no one talks about (claim 10),1
Scientists shocked by alien life found on Earth (claim 10),1
Government hiding truth about free money scheme (claim 10),1
Drinking this one liquid will make you immortal (claim 10),1
Shocking discovery proves world will end next week (claim 10),1
This simple trick can double your money instantly (claim 10),1
Government announces new education policy for students (report 11),0
Scientists confirm water found on Mars after new research (report 11),0
Election commission releases official voting data (report 11),0
NASA launches new satellite to study climate change (report 11),0
Finance ministry announces tax relief for middle class (report 11),0
Supreme Court passes new judgment on environmental law (report 11),0
WHO releases new global health guidelines (report 11),0
ISRO successfully tests new launch vehicle (report 11),0
Central bank revises interest rates after review (report 11),0
New renewable energy project inaugurated by government (report 11),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 11),1
You won’t believe how this man became rich in one day (claim 11),1
Secret revealed: cure for all diseases doctors hide (claim 11),1
Viral hoax claims mobile towers spread dangerous virus (claim 11),1
Click here to know shocking truth no one talks about (claim 11),1
Scientists shocked by alien life found on Earth (claim 11),1
Government hiding truth about free money scheme (claim 11),1
Drinking this one liquid will make you immortal (claim 11),1
Shocking discovery proves world will end next week (claim 11),1
This simple trick can double your money instantly (claim 11),1
Government announces new education policy for students (report 12),0
Scientists confirm water found on Mars after new research (report 12),0
Election commission releases official voting data (report 12),0
NASA launches new satellite to study climate change (report 12),0
Finance ministry announces tax relief for middle class (report 12),0
Supreme Court passes new judgment on environmental law (report 12),0
WHO releases new global health guidelines (report 12),0
ISRO successfully tests new launch vehicle (report 12),0
Central bank revises interest rates after review (report 12),0
New renewable energy project inaugurated by government (report 12),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 12),1
You won’t believe how this man became rich in one day (claim 12),1
Secret revealed: cure for all diseases doctors hide (claim 12),1
Viral hoax claims mobile towers spread dangerous virus (claim 12),1
Click here to know shocking truth no one talks about (claim 12),1
Scientists shocked by alien life found on Earth (claim 12),1
Government hiding truth about free money scheme (claim 12),1
Drinking this one liquid will make you immortal (claim 12),1
Shocking discovery proves world will end next week (claim 12),1
This simple trick can double your money instantly (claim 12),1
Government announces new education policy for students (report 13),0
Scientists confirm water found on Mars after new research (report 13),0
Election commission releases official voting data (report 13),0
NASA launches new satellite to study climate change (report 13),0
Finance ministry announces tax relief for middle class (report 13),0
Supreme Court passes new judgment on environmental law (report 13),0
WHO releases new global health guidelines (report 13),0
ISRO successfully tests new launch vehicle (report 13),0
Central bank revises interest rates after review (report 13),0
New renewable energy project inaugurated by government (report 13),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 13),1
You won’t believe how this man became rich in one day (claim 13),1
Secret revealed: cure for all diseases doctors hide (claim 13),1
Viral hoax claims mobile towers spread dangerous virus (claim 13),1
Click here to know shocking truth no one talks about (claim 13),1
Scientists shocked by alien life found on Earth (claim 13),1
Government hiding truth about free money scheme (claim 13),1
Drinking this one liquid will make you immortal (claim 13),1
Shocking discovery proves world will end next week (claim 13),1
This simple trick can double your money instantly (claim 13),1
Government announces new education policy for students (report 14),0
Scientists confirm water found on Mars after new research (report 14),0
Election commission releases official voting data (report 14),0
NASA launches new satellite to study climate change (report 14),0
Finance ministry announces tax relief for middle class (report 14),0
Supreme Court passes new judgment on environmental law (report 14),0
WHO releases new global health guidelines (report 14),0
ISRO successfully tests new launch vehicle (report 14),0
Central bank revises interest rates after review (report 14),0
New renewable energy project inaugurated by government (report 14),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 14),1
You won’t believe how this man became rich in one day (claim 14),1
Secret revealed: cure for all diseases doctors hide (claim 14),1
Viral hoax claims mobile towers spread dangerous virus (claim 14),1
Click here to know shocking truth no one talks about (claim 14),1
Scientists shocked by alien life found on Earth (claim 14),1
Government hiding truth about free money scheme (claim 14),1
Drinking this one liquid will make you immortal (claim 14),1
Shocking discovery proves world will end next week (claim 14),1
This simple trick can double your money instantly (claim 14),1
Government announces new education policy for students (report 15),0
Scientists confirm water found on Mars after new research (report 15),0
Election commission releases official voting data (report 15),0
NASA launches new satellite to study climate change (report 15),0
Finance ministry announces tax relief for middle class (report 15),0
Supreme Court passes new judgment on environmental law (report 15),0
WHO releases new global health guidelines (report 15),0
ISRO successfully tests new launch vehicle (report 15),0
Central bank revises interest rates after review (report 15),0
New renewable energy project inaugurated by government (report 15),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 15),1
You won’t believe how this man became rich in one day (claim 15),1
Secret revealed: cure for all diseases doctors hide (claim 15),1
Viral hoax claims mobile towers spread dangerous virus (claim 15),1
Click here to know shocking truth no one talks about (claim 15),1
Scientists shocked by alien life found on Earth (claim 15),1
Government hiding truth about free money scheme (claim 15),1
Drinking this one liquid will make you immortal (claim 15),1
Shocking discovery proves world will end next week (claim 15),1
This simple trick can double your money instantly (claim 15),1
Government announces new education policy for students (report 16),0
Scientists confirm water found on Mars after new research (report 16),0
Election commission releases official voting data (report 16),0
NASA launches new satellite to study climate change (report 16),0
Finance ministry announces tax relief for middle class (report 16),0
Supreme Court passes new judgment on environmental law (report 16),0
WHO releases new global health guidelines (report 16),0
ISRO successfully tests new launch vehicle (report 16),0
Central bank revises interest rates after review (report 16),0
New renewable energy project inaugurated by government (report 16),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 16),1
You won’t believe how this man became rich in one day (claim 16),1
Secret revealed: cure for all diseases doctors hide (claim 16),1
Viral hoax claims mobile towers spread dangerous virus (claim 16),1
Click here to know shocking truth no one talks about (claim 16),1
Scientists shocked by alien life found on Earth (claim 16),1
Government hiding truth about free money scheme (claim 16),1
Drinking this one liquid will make you immortal (claim 16),1
Shocking discovery proves world will end next week (claim 16),1
This simple trick can double your money instantly (claim 16),1
Government announces new education policy for students (report 17),0
Scientists confirm water found on Mars after new research (report 17),0
Election commission releases official voting data (report 17),0
NASA launches new satellite to study climate change (report 17),0
Finance ministry announces tax relief for middle class (report 17),0
Supreme Court passes new judgment on environmental law (report 17),0
WHO releases new global health guidelines (report 17),0
ISRO successfully tests new launch vehicle (report 17),0
Central bank revises interest rates after review (report 17),0
New renewable energy project inaugurated by government (report 17),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 17),1
You won’t believe how this man became rich in one day (claim 17),1
Secret revealed: cure for all diseases doctors hide (claim 17),1
Viral hoax claims mobile towers spread dangerous virus (claim 17),1
Click here to know shocking truth no one talks about (claim 17),1
Scientists shocked by alien life found on Earth (claim 17),1
Government hiding truth about free money scheme (claim 17),1
Drinking this one liquid will make you immortal (claim 17),1
Shocking discovery proves world will end next week (claim 17),1
This simple trick can double your money instantly (claim 17),1
Government announces new education policy for students (report 18),0
Scientists confirm water found on Mars after new research (report 18),0
Election commission releases official voting data (report 18),0
NASA launches new satellite to study climate change (report 18),0
Finance ministry announces tax relief for middle class (report 18),0
Supreme Court passes new judgment on environmental law (report 18),0
WHO releases new global health guidelines (report 18),0
ISRO successfully tests new launch vehicle (report 18),0
Central bank revises interest rates after review (report 18),0
New renewable energy project inaugurated by government (report 18),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 18),1
You won’t believe how this man became rich in one day (claim 18),1
Secret revealed: cure for all diseases doctors hide (claim 18),1
Viral hoax claims mobile towers spread dangerous virus (claim 18),1
Click here to know shocking truth no one talks about (claim 18),1
Scientists shocked by alien life found on Earth (claim 18),1
Government hiding truth about free money scheme (claim 18),1
Drinking this one liquid will make you immortal (claim 18),1
Shocking discovery proves world will end next week (claim 18),1
This simple trick can double your money instantly (claim 18),1
Government announces new education policy for students (report 19),0
Scientists confirm water found on Mars after new research (report 19),0
Election commission releases official voting data (report 19),0
NASA launches new satellite to study climate change (report 19),0
Finance ministry announces tax relief for middle class (report 19),0
Supreme Court passes new judgment on environmental law (report 19),0
WHO releases new global health guidelines (report 19),0
ISRO successfully tests new launch vehicle (report 19),0
Central bank revises interest rates after review (report 19),0
New renewable energy project inaugurated by government (report 19),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 19),1
You won’t believe how this man became rich in one day (claim 19),1
Secret revealed: cure for all diseases doctors hide (claim 19),1
Viral hoax claims mobile towers spread dangerous virus (claim 19),1
Click here to know shocking truth no one talks about (claim 19),1
Scientists shocked by alien life found on Earth (claim 19),1
Government hiding truth about free money scheme (claim 19),1
Drinking this one liquid will make you immortal (claim 19),1
Shocking discovery proves world will end next week (claim 19),1
This simple trick can double your money instantly (claim 19),1
Government announces new education policy for students (report 20),0
Scientists confirm water found on Mars after new research (report 20),0
Election commission releases official voting data (report 20),0
NASA launches new satellite to study climate change (report 20),0
Finance ministry announces tax relief for middle class (report 20),0
Supreme Court passes new judgment on environmental law (report 20),0
WHO releases new global health guidelines (report 20),0
ISRO successfully tests new launch vehicle (report 20),0
Central bank revises interest rates after review (report 20),0
New renewable energy project inaugurated by government (report 20),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 20),1
You won’t believe how this man became rich in one day (claim 20),1
Secret revealed: cure for all diseases doctors hide (claim 20),1
Viral hoax claims mobile towers spread dangerous virus (claim 20),1
Click here to know shocking truth no one talks about (claim 20),1
Scientists shocked by alien life found on Earth (claim 20),1
Government hiding truth about free money scheme (claim 20),1
Drinking this one liquid will make you immortal (claim 20),1
Shocking discovery proves world will end next week (claim 20),1
This simple trick can double your money instantly (claim 20),1
Government announces new education policy for students (report 21),0
Scientists confirm water found on Mars after new research (report 21),0
Election commission releases official voting data (report 21),0
NASA launches new satellite to study climate change (report 21),0
Finance ministry announces tax relief for middle class (report 21),0
Supreme Court passes new judgment on environmental law (report 21),0
WHO releases new global health guidelines (report 21),0
ISRO successfully tests new launch vehicle (report 21),0
Central bank revises interest rates after review (report 21),0
New renewable energy project inaugurated by government (report 21),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 21),1
You won’t believe how this man became rich in one day (claim 21),1
Secret revealed: cure for all diseases doctors hide (claim 21),1
Viral hoax claims mobile towers spread dangerous virus (claim 21),1
Click here to know shocking truth no one talks about (claim 21),1
Scientists shocked by alien life found on Earth (claim 21),1
Government hiding truth about free money scheme (claim 21),1
Drinking this one liquid will make you immortal (claim 21),1
Shocking discovery proves world will end next week (claim 21),1
This simple trick can double your money instantly (claim 21),1
Government announces new education policy for students (report 22),0
Scientists confirm water found on Mars after new research (report 22),0
Election commission releases official voting data (report 22),0
NASA launches new satellite to study climate change (report 22),0
Finance ministry announces tax relief for middle class (report 22),0
Supreme Court passes new judgment on environmental law (report 22),0
WHO releases new global health guidelines (report 22),0
ISRO successfully tests new launch vehicle (report 22),0
Central bank revises interest rates after review (report 22),0
New renewable energy project inaugurated by government (report 22),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 22),1
You won’t believe how this man became rich in one day (claim 22),1
Secret revealed: cure for all diseases doctors hide (claim 22),1
Viral hoax claims mobile towers spread dangerous virus (claim 22),1
Click here to know shocking truth no one talks about (claim 22),1
Scientists shocked by alien life found on Earth (claim 22),1
Government hiding truth about free money scheme (claim 22),1
Drinking this one liquid will make you immortal (claim 22),1
Shocking discovery proves world will end next week (claim 22),1
This simple trick can double your money instantly (claim 22),1
Government announces new education policy for students (report 23),0
Scientists confirm water found on Mars after new research (report 23),0
Election commission releases official voting data (report 23),0
NASA launches new satellite to study climate change (report 23),0
Finance ministry announces tax relief for middle class (report 23),0
Supreme Court passes new judgment on environmental law (report 23),0
WHO releases new global health guidelines (report 23),0
ISRO successfully tests new launch vehicle (report 23),0
Central bank revises interest rates after review (report 23),0
New renewable energy project inaugurated by government (report 23),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 23),1
You won’t believe how this man became rich in one day (claim 23),1
Secret revealed: cure for all diseases doctors hide (claim 23),1
Viral hoax claims mobile towers spread dangerous virus (claim 23),1
Click here to know shocking truth no one talks about (claim 23),1
Scientists shocked by alien life found on Earth (claim 23),1
Government hiding truth about free money scheme (claim 23),1
Drinking this one liquid will make you immortal (claim 23),1
Shocking discovery proves world will end next week (claim 23),1
This simple trick can double your money instantly (claim 23),1
Government announces new education policy for students (report 24),0
Scientists confirm water found on Mars after new research (report 24),0
Election commission releases official voting data (report 24),0
NASA launches new satellite to study climate change (report 24),0
Finance ministry announces tax relief for middle class (report 24),0
Supreme Court passes new judgment on environmental law (report 24),0
WHO releases new global health guidelines (report 24),0
ISRO successfully tests new launch vehicle (report 24),0
Central bank revises interest rates after review (report 24),0
New renewable energy project inaugurated by government (report 24),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 24),1
You won’t believe how this man became rich in one day (claim 24),1
Secret revealed: cure for all diseases doctors hide (claim 24),1
Viral hoax claims mobile towers spread dangerous virus (claim 24),1
Click here to know shocking truth no one talks about (claim 24),1
Scientists shocked by alien life found on Earth (claim 24),1
Government hiding truth about free money scheme (claim 24),1
Drinking this one liquid will make you immortal (claim 24),1
Shocking discovery proves world will end next week (claim 24),1
This simple trick can double your money instantly (claim 24),1
Government announces new education policy for students (report 25),0
Scientists confirm water found on Mars after new research (report 25),0
Election commission releases official voting data (report 25),0
NASA launches new satellite to study climate change (report 25),0
Finance ministry announces tax relief for middle class (report 25),0
Supreme Court passes new judgment on environmental law (report 25),0
WHO releases new global health guidelines (report 25),0
ISRO successfully tests new launch vehicle (report 25),0
Central bank revises interest rates after review (report 25),0
New renewable energy project inaugurated by government (report 25),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 25),1
You won’t believe how this man became rich in one day (claim 25),1
Secret revealed: cure for all diseases doctors hide (claim 25),1
Viral hoax claims mobile towers spread dangerous virus (claim 25),1
Click here to know shocking truth no one talks about (claim 25),1
Scientists shocked by alien life found on Earth (claim 25),1
Government hiding truth about free money scheme (claim 25),1
Drinking this one liquid will make you immortal (claim 25),1
Shocking discovery proves world will end next week (claim 25),1
This simple trick can double your money instantly (claim 25),1
Government announces new education policy for students (report 26),0
Scientists confirm water found on Mars after new research (report 26),0
Election commission releases official voting data (report 26),0
NASA launches new satellite to study climate change (report 26),0
Finance ministry announces tax relief for middle class (report 26),0
Supreme Court passes new judgment on environmental law (report 26),0
WHO releases new global health guidelines (report 26),0
ISRO successfully tests new launch vehicle (report 26),0
Central bank revises interest rates after review (report 26),0
New renewable energy project inaugurated by government (report 26),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 26),1
You won’t believe how this man became rich in one day (claim 26),1
Secret revealed: cure for all diseases doctors hide (claim 26),1
Viral hoax claims mobile towers spread dangerous virus (claim 26),1
Click here to know shocking truth no one talks about (claim 26),1
Scientists shocked by alien life found on Earth (claim 26),1
Government hiding truth about free money scheme (claim 26),1
Drinking this one liquid will make you immortal (claim 26),1
Shocking discovery proves world will end next week (claim 26),1
This simple trick can double your money instantly (claim 26),1
Government announces new education policy for students (report 27),0
Scientists confirm water found on Mars after new research (report 27),0
Election commission releases official voting data (report 27),0
NASA launches new satellite to study climate change (report 27),0
Finance ministry announces tax relief for middle class (report 27),0
Supreme Court passes new judgment on environmental law (report 27),0
WHO releases new global health guidelines (report 27),0
ISRO successfully tests new launch vehicle (report 27),0
Central bank revises interest rates after review (report 27),0
New renewable energy project inaugurated by government (report 27),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 27),1
You won’t believe how this man became rich in one day (claim 27),1
Secret revealed: cure for all diseases doctors hide (claim 27),1
Viral hoax claims mobile towers spread dangerous virus (claim 27),1
Click here to know shocking truth no one talks about (claim 27),1
Scientists shocked by alien life found on Earth (claim 27),1
Government hiding truth about free money scheme (claim 27),1
Drinking this one liquid will make you immortal (claim 27),1
Shocking discovery proves world will end next week (claim 27),1
This simple trick can double your money instantly (claim 27),1
Government announces new education policy for students (report 28),0
Scientists confirm water found on Mars after new research (report 28),0
Election commission releases official voting data (report 28),0
NASA launches new satellite to study climate change (report 28),0
Finance ministry announces tax relief for middle class (report 28),0
Supreme Court passes new judgment on environmental law (report 28),0
WHO releases new global health guidelines (report 28),0
ISRO successfully tests new launch vehicle (report 28),0
Central bank revises interest rates after review (report 28),0
New renewable energy project inaugurated by government (report 28),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 28),1
You won’t believe how this man became rich in one day (claim 28),1
Secret revealed: cure for all diseases doctors hide (claim 28),1
Viral hoax claims mobile towers spread dangerous virus (claim 28),1
Click here to know shocking truth no one talks about (claim 28),1
Scientists shocked by alien life found on Earth (claim 28),1
Government hiding truth about free money scheme (claim 28),1
Drinking this one liquid will make you immortal (claim 28),1
Shocking discovery proves world will end next week (claim 28),1
This simple trick can double your money instantly (claim 28),1
Government announces new education policy for students (report 29),0
Scientists confirm water found on Mars after new research (report 29),0
Election commission releases official voting data (report 29),0
NASA launches new satellite to study climate change (report 29),0
Finance ministry announces tax relief for middle class (report 29),0
Supreme Court passes new judgment on environmental law (report 29),0
WHO releases new global health guidelines (report 29),0
ISRO successfully tests new launch vehicle (report 29),0
Central bank revises interest rates after review (report 29),0
New renewable energy project inaugurated by government (report 29),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 29),1
You won’t believe how this man became rich in one day (claim 29),1
Secret revealed: cure for all diseases doctors hide (claim 29),1
Viral hoax claims mobile towers spread dangerous virus (claim 29),1
Click here to know shocking truth no one talks about (claim 29),1
Scientists shocked by alien life found on Earth (claim 29),1
Government hiding truth about free money scheme (claim 29),1
Drinking this one liquid will make you immortal (claim 29),1
Shocking discovery proves world will end next week (claim 29),1
This simple trick can double your money instantly (claim 29),1
Government announces new education policy for students (report 30),0
Scientists confirm water found on Mars after new research (report 30),0
Election commission releases official voting data (report 30),0
NASA launches new satellite to study climate change (report 30),0
Finance ministry announces tax relief for middle class (report 30),0
Supreme Court passes new judgment on environmental law (report 30),0
WHO releases new global health guidelines (report 30),0
ISRO successfully tests new launch vehicle (report 30),0
Central bank revises interest rates after review (report 30),0
New renewable energy project inaugurated by government (report 30),0
Breaking!!! Miracle cure for cancer discovered overnight (claim 30),1
You won’t believe how this man became rich in one day (claim 30),1
Secret revealed: cure for all diseases doctors hide (claim 30),1
Viral hoax claims mobile towers spread dangerous virus (claim 30),1
Click here to know shocking truth no one talks about (claim 30),1
Scientists shocked by alien life found on Earth (claim 30),1
Government hiding truth about free money scheme (claim 30),1
Drinking this one liquid will make you immortal (claim 30),1
Shocking discovery proves world will end next week (claim 30),1
This simple trick can double your money instantly (claim 30),1
Government announces new education policy for students (report 31),0
Scientists confirm water found on Mars after new research (report 31),0
